Aula complementar,Bimestre,CH Teórica/Prática,Competência técnica,Competências socioemocionais,Nome do componente,Código do componente,Componente de 3 ou 4 aulas semanais?,Unidade curricular,Código unidade curricular,Semana,Tema da semana,Título da aula,Habilidades técnicas,Habildades socioemocionais,Objetivo da aula,Objeto de conhecimento 
,1,T,"Apoiar o desenvolvimento de estratégias de marketing para os diferentes produtos e os diferentes tipos de empresa; Pensamento analítico para o apoio no desenvolvimento de estratégias de marketing, visando a identificação de oportunidades de mercado, segmentação de clientes e apoio na criação de planos de ação para a promoção de produtos e serviços; Atitude empreendedora e proativa, estimulando a busca por oportunidades, a iniciativa na criação e no desenvolvimento de projetos e a busca constante por .","Curiosidade - Ser interessado em ideias e ter paixão por aprender, compreensão e exploração intelectual; uma mentalidade curiosa;
Assertividade - Ser capaz de expressar opiniões, necessidades e sentimentos com confiança e exercer influência social;
Cooperação - Viver em harmonia com os outros e valorizar a interconexão entre todas as pessoas;
Autoeficácia - A força das crenças dos indivíduos em sua capacidade de executar tarefas e atingir objetivos.",Marketing Estratégico,C1,3,Introdução ao Marketing,U1,1,Conceitos Básicos de Marketing,Aula 1: Definição e importância do marketing,Reconhecer se uma empresa está orientada para a administração de marketing.,Analisar situações complexas.,Compreender o conceito de marketing e a sua relevância para as empresas.,1. Conceito e importância do marketing
,1,T,"Apoiar o desenvolvimento de estratégias de marketing para os diferentes produtos e os diferentes tipos de empresa; Pensamento analítico para o apoio no desenvolvimento de estratégias de marketing, visando a identificação de oportunidades de mercado, segmentação de clientes e apoio na criação de planos de ação para a promoção de produtos e serviços; Atitude empreendedora e proativa, estimulando a busca por oportunidades, a iniciativa na criação e no desenvolvimento de projetos e a busca constante por .","Curiosidade - Ser interessado em ideias e ter paixão por aprender, compreensão e exploração intelectual; uma mentalidade curiosa;
Assertividade - Ser capaz de expressar opiniões, necessidades e sentimentos com confiança e exercer influência social;
Cooperação - Viver em harmonia com os outros e valorizar a interconexão entre todas as pessoas;
Autoeficácia - A força das crenças dos indivíduos em sua capacidade de executar tarefas e atingir objetivos.",Marketing Estratégico,C1,3,Introdução ao Marketing,U1,1,Conceitos Básicos de Marketing,Aula 2: Tipos de marketing,Reconhecer se uma empresa está orientada para a administração de marketing.,Analisar situações complexas.,Identificar os diferentes tipos de marketing utilizados pelas empresas.,2. Tipos de marketing
,1,T,"Apoiar o desenvolvimento de estratégias de marketing para os diferentes produtos e os diferentes tipos de empresa; Pensamento analítico para o apoio no desenvolvimento de estratégias de marketing, visando a identificação de oportunidades de mercado, segmentação de clientes e apoio na criação de planos de ação para a promoção de produtos e serviços; Atitude empreendedora e proativa, estimulando a busca por oportunidades, a iniciativa na criação e no desenvolvimento de projetos e a busca constante por .","Curiosidade - Ser interessado em ideias e ter paixão por aprender, compreensão e exploração intelectual; uma mentalidade curiosa;
Assertividade - Ser capaz de expressar opiniões, necessidades e sentimentos com confiança e exercer influência social;
Cooperação - Viver em harmonia com os outros e valorizar a interconexão entre todas as pessoas;
Autoeficácia - A força das crenças dos indivíduos em sua capacidade de executar tarefas e atingir objetivos.",Marketing Estratégico,C1,3,Introdução ao Marketing,U1,1,Conceitos Básicos de Marketing,Aula 3: Os Ps do marketing,Reconhecer se uma empresa está orientada para a administração de marketing.,Analisar situações complexas.,Identificar os Ps do marketing em cenários reais.,3. Definição e identificação dos Ps do marketing
,1,T,"Apoiar o desenvolvimento de estratégias de marketing para os diferentes produtos e os diferentes tipos de empresa; Pensamento analítico para o apoio no desenvolvimento de estratégias de marketing, visando a identificação de oportunidades de mercado, segmentação de clientes e apoio na criação de planos de ação para a promoção de produtos e serviços; Atitude empreendedora e proativa, estimulando a busca por oportunidades, a iniciativa na criação e no desenvolvimento de projetos e a busca constante por .","Curiosidade - Ser interessado em ideias e ter paixão por aprender, compreensão e exploração intelectual; uma mentalidade curiosa;
Assertividade - Ser capaz de expressar opiniões, necessidades e sentimentos com confiança e exercer influência social;
Cooperação - Viver em harmonia com os outros e valorizar a interconexão entre todas as pessoas;
Autoeficácia - A força das crenças dos indivíduos em sua capacidade de executar tarefas e atingir objetivos.",Marketing Estratégico,C1,3,Introdução ao Marketing,U1,2,Ambientes de Marketing,Aula 1: Macroambiente – Matriz PESTEL,Empregar o pensamento analítico a fim de obter uma visão clara e precisa das decisões de marketing numa empresa.,Pensar de forma criativa e colaborativa no desenvolvimento da análise de cenários organizacionais.,"Compreender o conceito de macroambiente do marketing.
Entender a aplicação da Matriz Pestel na análise do macroambiente.",1. Compreensão do macroambiente por meio da Matriz Pestel
,1,T,"Apoiar o desenvolvimento de estratégias de marketing para os diferentes produtos e os diferentes tipos de empresa; Pensamento analítico para o apoio no desenvolvimento de estratégias de marketing, visando a identificação de oportunidades de mercado, segmentação de clientes e apoio na criação de planos de ação para a promoção de produtos e serviços; Atitude empreendedora e proativa, estimulando a busca por oportunidades, a iniciativa na criação e no desenvolvimento de projetos e a busca constante por .","Curiosidade - Ser interessado em ideias e ter paixão por aprender, compreensão e exploração intelectual; uma mentalidade curiosa;
Assertividade - Ser capaz de expressar opiniões, necessidades e sentimentos com confiança e exercer influência social;
Cooperação - Viver em harmonia com os outros e valorizar a interconexão entre todas as pessoas;
Autoeficácia - A força das crenças dos indivíduos em sua capacidade de executar tarefas e atingir objetivos.",Marketing Estratégico,C1,3,Introdução ao Marketing,U1,2,Ambientes de Marketing,Aula 2: Microambiente,Empregar o pensamento analítico a fim de obter uma visão clara e precisa das decisões de marketing numa empresa.,Pensar de forma criativa e colaborativa no desenvolvimento da análise de cenários organizacionais.,"Compreender o conceito de microambiente do marketing.
Identificar os seus componentes de forma a auxiliar no desenvolvimento de estratégias mais concisas em relação ao propósito da empresa.",2. Compreensão do microambiente do marketing por meio dos seus principais componentes
,1,T,"Apoiar o desenvolvimento de estratégias de marketing para os diferentes produtos e os diferentes tipos de empresa; Pensamento analítico para o apoio no desenvolvimento de estratégias de marketing, visando a identificação de oportunidades de mercado, segmentação de clientes e apoio na criação de planos de ação para a promoção de produtos e serviços; Atitude empreendedora e proativa, estimulando a busca por oportunidades, a iniciativa na criação e no desenvolvimento de projetos e a busca constante por .","Curiosidade - Ser interessado em ideias e ter paixão por aprender, compreensão e exploração intelectual; uma mentalidade curiosa;
Assertividade - Ser capaz de expressar opiniões, necessidades e sentimentos com confiança e exercer influência social;
Cooperação - Viver em harmonia com os outros e valorizar a interconexão entre todas as pessoas;
Autoeficácia - A força das crenças dos indivíduos em sua capacidade de executar tarefas e atingir objetivos.",Marketing Estratégico,C1,3,Introdução ao Marketing,U1,2,Ambientes de Marketing,Aula 3: Análise SWOT dos ambientes de marketing,Empregar o pensamento analítico a fim de obter uma visão clara e precisa das decisões de marketing numa empresa.,Pensar de forma criativa e colaborativa no desenvolvimento da análise de cenários organizacionais.,"Identificar e analisar as forças, as fraquezas, as oportunidades e as ameaças de uma empresa que influenciam as decisões estratégicas.",3. Análise SWOT como ferramenta de análise dos ambientes do marketing
Recomposição da Aprendizagem,,,,,,,,,,,,,,,,
,1,T,"Apoiar o desenvolvimento de estratégias de marketing para os diferentes produtos e os diferentes tipos de empresa; Pensamento analítico para o apoio no desenvolvimento de estratégias de marketing, visando a identificação de oportunidades de mercado, segmentação de clientes e apoio na criação de planos de ação para a promoção de produtos e serviços; Atitude empreendedora e proativa, estimulando a busca por oportunidades, a iniciativa na criação e no desenvolvimento de projetos e a busca constante por .","Curiosidade - Ser interessado em ideias e ter paixão por aprender, compreensão e exploração intelectual; uma mentalidade curiosa;
Assertividade - Ser capaz de expressar opiniões, necessidades e sentimentos com confiança e exercer influência social;
Cooperação - Viver em harmonia com os outros e valorizar a interconexão entre todas as pessoas;
Autoeficácia - A força das crenças dos indivíduos em sua capacidade de executar tarefas e atingir objetivos.",Marketing Estratégico,C1,3,Introdução ao Marketing,U1,3,Comportamento do Consumidor,Aula 1: Processo de decisão de compra,Identificar dados e informações sobre o mercado e seus segmentos.,"Desenvolver interesse por novas ideias e conceitos.
","Identificar as etapas que compõem o processo de decisão de compra do consumidor, desde o reconhecimento da necessidade até as atividades de pós-compra.",1. Compreensão das etapas que envolvem o processo de decisão de compra do consumidor
,1,T,"Apoiar o desenvolvimento de estratégias de marketing para os diferentes produtos e os diferentes tipos de empresa; Pensamento analítico para o apoio no desenvolvimento de estratégias de marketing, visando a identificação de oportunidades de mercado, segmentação de clientes e apoio na criação de planos de ação para a promoção de produtos e serviços; Atitude empreendedora e proativa, estimulando a busca por oportunidades, a iniciativa na criação e no desenvolvimento de projetos e a busca constante por .","Curiosidade - Ser interessado em ideias e ter paixão por aprender, compreensão e exploração intelectual; uma mentalidade curiosa;
Assertividade - Ser capaz de expressar opiniões, necessidades e sentimentos com confiança e exercer influência social;
Cooperação - Viver em harmonia com os outros e valorizar a interconexão entre todas as pessoas;
Autoeficácia - A força das crenças dos indivíduos em sua capacidade de executar tarefas e atingir objetivos.",Marketing Estratégico,C1,3,Introdução ao Marketing,U1,3,Comportamento do Consumidor,Aula 2: Fatores que influenciam o comportamento do consumidor,Identificar dados e informações sobre o mercado e seus segmentos.,"Desenvolver interesse por novas ideias e conceitos.
","Identificar os fatores que influenciam o comportamento do consumidor, como: culturais, sociais, pessoais e psicológicos. ",2. Fatores que influenciam o comportamento do consumidor
,1,T,"Apoiar o desenvolvimento de estratégias de marketing para os diferentes produtos e os diferentes tipos de empresa; Pensamento analítico para o apoio no desenvolvimento de estratégias de marketing, visando a identificação de oportunidades de mercado, segmentação de clientes e apoio na criação de planos de ação para a promoção de produtos e serviços; Atitude empreendedora e proativa, estimulando a busca por oportunidades, a iniciativa na criação e no desenvolvimento de projetos e a busca constante por .","Curiosidade - Ser interessado em ideias e ter paixão por aprender, compreensão e exploração intelectual; uma mentalidade curiosa;
Assertividade - Ser capaz de expressar opiniões, necessidades e sentimentos com confiança e exercer influência social;
Cooperação - Viver em harmonia com os outros e valorizar a interconexão entre todas as pessoas;
Autoeficácia - A força das crenças dos indivíduos em sua capacidade de executar tarefas e atingir objetivos.",Marketing Estratégico,C1,3,Introdução ao Marketing,U1,3,Comportamento do consumidor,Aula 3: Segmentação de mercado,Identificar dados e informações sobre o mercado e seus segmentos.,"Desenvolver interesse por novas ideias e conceitos.
",Compreender como ocorre a divisão do mercado em segmentos com base nas características e nos comportamentos dos consumidores.,3. Identificação dos métodos de segmentação de mercado e suas estratégias de marketing
