Aula complementar,Bimestre,"CH
Teórica / Prática",Competência Técnica,Competências Socioemocionais ,Nome do componente,"Código
do componente","Componente
de 3 ou 4 aulas semanais?",Unidade curricular,,Semana,Tema da semana,Título da aula,Habilidades técnicas,Objetivos da aula,Objeto de conhecimento
,1,T,"Executar atividades de Recursos Humanos, tais como rotinas administrativas de departamento pessoal e rotinas administrativas de treinamento e desenvolvimento;                                                                                                                                        Compreender e aplicar noções de legislação e marco regulatório (LGPD).","Curiosidade - Ser interessado em ideias e ter paixão por aprender, compreensão e exploração intelectual; uma mentalidade curiosa;
Autoeficácia - A força das crenças dos indivíduos em sua capacidade de executar tarefas e atingir objetivos;
Motivação de realização - Estabelecer padrões elevados para si mesmo e trabalhar muito para alcançá-los;
Tolerância ao estresse - Ter eficácia na modulação da ansiedade e capacidade de resolver problemas com calma;
Persistência - Ser capaz de perseverar em tarefas e atividades até que sejam concluídas;
Empatia - Compreender e preocupar-se com os outros e com o seu bem-estar. Valorizar e investir no relacionamento próximo;
Criatividade - Gerar novas maneiras de fazer ou pensar sobre as coisas por meio da exploração, aprendizagem a partir do fracasso, insight e visão.","Introdução à Administração, Legislação e Pessoas",C1,4,Conceitos Básicos de Administração,,1,Fundamentos da Administração,Aula 1: 	Origem da Administração,Compreender os conceitos de Administração em tarefas de apoio organizacional e rotinas administrativas.,Identificar as origens da Administração e suas principais fases históricas.,1. Fundamentos da Administração
,1,T,"Executar atividades de Recursos Humanos, tais como rotinas administrativas de departamento pessoal e rotinas administrativas de treinamento e desenvolvimento;                                                                                                                                        Compreender e aplicar noções de legislação e marco regulatório (LGPD).","Curiosidade - Ser interessado em ideias e ter paixão por aprender, compreensão e exploração intelectual; uma mentalidade curiosa;
Autoeficácia - A força das crenças dos indivíduos em sua capacidade de executar tarefas e atingir objetivos;
Motivação de realização - Estabelecer padrões elevados para si mesmo e trabalhar muito para alcançá-los;
Tolerância ao estresse - Ter eficácia na modulação da ansiedade e capacidade de resolver problemas com calma;
Persistência - Ser capaz de perseverar em tarefas e atividades até que sejam concluídas;
Empatia - Compreender e preocupar-se com os outros e com o seu bem-estar. Valorizar e investir no relacionamento próximo;
Criatividade - Gerar novas maneiras de fazer ou pensar sobre as coisas por meio da exploração, aprendizagem a partir do fracasso, insight e visão.","Introdução à Administração, Legislação e Pessoas",C1,4,Conceitos Básicos de Administração,,1,Fundamentos da Administração,Aula 2: Primeiras teorias administrativas,Compreender os conceitos de Administração em tarefas de apoio organizacional e rotinas administrativas.,Reconhecer as principais características das primeiras escolas da Administração.,2. Escolas clássicas da administração
,1,T,"Executar atividades de Recursos Humanos, tais como rotinas administrativas de departamento pessoal e rotinas administrativas de treinamento e desenvolvimento;                                                                                                                                        Compreender e aplicar noções de legislação e marco regulatório (LGPD).","Curiosidade - Ser interessado em ideias e ter paixão por aprender, compreensão e exploração intelectual; uma mentalidade curiosa;
Autoeficácia - A força das crenças dos indivíduos em sua capacidade de executar tarefas e atingir objetivos;
Motivação de realização - Estabelecer padrões elevados para si mesmo e trabalhar muito para alcançá-los;
Tolerância ao estresse - Ter eficácia na modulação da ansiedade e capacidade de resolver problemas com calma;
Persistência - Ser capaz de perseverar em tarefas e atividades até que sejam concluídas;
Empatia - Compreender e preocupar-se com os outros e com o seu bem-estar. Valorizar e investir no relacionamento próximo;
Criatividade - Gerar novas maneiras de fazer ou pensar sobre as coisas por meio da exploração, aprendizagem a partir do fracasso, insight e visão.","Introdução à Administração, Legislação e Pessoas",C1,4,Conceitos Básicos de Administração,,1,Fundamentos da Administração,Aula 3: Evolução estrutural e humana,Compreender os conceitos de Administração em tarefas de apoio organizacional e rotinas administrativas.,Comparar diferentes abordagens administrativas diante das mudanças organizacionais.,3. Abordagens contextuais e humanas
,1,T,"Executar atividades de Recursos Humanos, tais como rotinas administrativas de departamento pessoal e rotinas administrativas de treinamento e desenvolvimento;                                                                                                                                        Compreender e aplicar noções de legislação e marco regulatório (LGPD).","Curiosidade - Ser interessado em ideias e ter paixão por aprender, compreensão e exploração intelectual; uma mentalidade curiosa;
Autoeficácia - A força das crenças dos indivíduos em sua capacidade de executar tarefas e atingir objetivos;
Motivação de realização - Estabelecer padrões elevados para si mesmo e trabalhar muito para alcançá-los;
Tolerância ao estresse - Ter eficácia na modulação da ansiedade e capacidade de resolver problemas com calma;
Persistência - Ser capaz de perseverar em tarefas e atividades até que sejam concluídas;
Empatia - Compreender e preocupar-se com os outros e com o seu bem-estar. Valorizar e investir no relacionamento próximo;
Criatividade - Gerar novas maneiras de fazer ou pensar sobre as coisas por meio da exploração, aprendizagem a partir do fracasso, insight e visão.","Introdução à Administração, Legislação e Pessoas",C1,4,Conceitos Básicos de Administração,,1,Fundamentos da Administração,Aula 4: Desafios atuais da Administração,Compreender os conceitos de Administração em tarefas de apoio organizacional e rotinas administrativas.,Identificar os desafios atuais enfrentados pelas organizações na prática administrativa.,4. Administração nas organizações contemporâneas
,1,T,"Executar atividades de Recursos Humanos, tais como rotinas administrativas de departamento pessoal e rotinas administrativas de treinamento e desenvolvimento;                                                                                                                                        Compreender e aplicar noções de legislação e marco regulatório (LGPD).","Curiosidade - Ser interessado em ideias e ter paixão por aprender, compreensão e exploração intelectual; uma mentalidade curiosa;
Autoeficácia - A força das crenças dos indivíduos em sua capacidade de executar tarefas e atingir objetivos;
Motivação de realização - Estabelecer padrões elevados para si mesmo e trabalhar muito para alcançá-los;
Tolerância ao estresse - Ter eficácia na modulação da ansiedade e capacidade de resolver problemas com calma;
Persistência - Ser capaz de perseverar em tarefas e atividades até que sejam concluídas;
Empatia - Compreender e preocupar-se com os outros e com o seu bem-estar. Valorizar e investir no relacionamento próximo;
Criatividade - Gerar novas maneiras de fazer ou pensar sobre as coisas por meio da exploração, aprendizagem a partir do fracasso, insight e visão.","Introdução à Administração, Legislação e Pessoas",C1,4,"Funções Administrativas, Planejamento, Organização, Direção e Controle",,2,Planejamento e organização,Aula 1: Planejamento estratégico,Compreender as funções administrativas de planejamento e organização no apoio às atividades da empresa.,Compreender os elementos do planejamento estratégico no contexto organizacional.,1. Planejamento nas empresas
,1,T,"Executar atividades de Recursos Humanos, tais como rotinas administrativas de departamento pessoal e rotinas administrativas de treinamento e desenvolvimento;                                                                                                                                        Compreender e aplicar noções de legislação e marco regulatório (LGPD).","Curiosidade - Ser interessado em ideias e ter paixão por aprender, compreensão e exploração intelectual; uma mentalidade curiosa;
Autoeficácia - A força das crenças dos indivíduos em sua capacidade de executar tarefas e atingir objetivos;
Motivação de realização - Estabelecer padrões elevados para si mesmo e trabalhar muito para alcançá-los;
Tolerância ao estresse - Ter eficácia na modulação da ansiedade e capacidade de resolver problemas com calma;
Persistência - Ser capaz de perseverar em tarefas e atividades até que sejam concluídas;
Empatia - Compreender e preocupar-se com os outros e com o seu bem-estar. Valorizar e investir no relacionamento próximo;
Criatividade - Gerar novas maneiras de fazer ou pensar sobre as coisas por meio da exploração, aprendizagem a partir do fracasso, insight e visão.","Introdução à Administração, Legislação e Pessoas",C1,4,"Funções Administrativas, Planejamento, Organização, Direção e Controle",,2,Planejamento e organização,Aula 2: Análise SWOT,Compreender as funções administrativas de planejamento e organização no apoio às atividades da empresa.,Compreender a estrutura e a finalidade da análise SWOT.,2. Ferramentas de análise organizacional
,1,T,"Executar atividades de Recursos Humanos, tais como rotinas administrativas de departamento pessoal e rotinas administrativas de treinamento e desenvolvimento;                                                                                                                                        Compreender e aplicar noções de legislação e marco regulatório (LGPD).","Curiosidade - Ser interessado em ideias e ter paixão por aprender, compreensão e exploração intelectual; uma mentalidade curiosa;
Autoeficácia - A força das crenças dos indivíduos em sua capacidade de executar tarefas e atingir objetivos;
Motivação de realização - Estabelecer padrões elevados para si mesmo e trabalhar muito para alcançá-los;
Tolerância ao estresse - Ter eficácia na modulação da ansiedade e capacidade de resolver problemas com calma;
Persistência - Ser capaz de perseverar em tarefas e atividades até que sejam concluídas;
Empatia - Compreender e preocupar-se com os outros e com o seu bem-estar. Valorizar e investir no relacionamento próximo;
Criatividade - Gerar novas maneiras de fazer ou pensar sobre as coisas por meio da exploração, aprendizagem a partir do fracasso, insight e visão.","Introdução à Administração, Legislação e Pessoas",C1,4,"Funções Administrativas, Planejamento, Organização, Direção e Controle",,2,Planejamento e organização,Aula 3: Inovação no planejamento,Compreender as funções administrativas de planejamento e organização no apoio às atividades da empresa.,Compreender como a inovação contribui para o planejamento estratégico.,3. Inovação como estratégia administrativa
,1,T,"Executar atividades de Recursos Humanos, tais como rotinas administrativas de departamento pessoal e rotinas administrativas de treinamento e desenvolvimento;                                                                                                                                        Compreender e aplicar noções de legislação e marco regulatório (LGPD).","Curiosidade - Ser interessado em ideias e ter paixão por aprender, compreensão e exploração intelectual; uma mentalidade curiosa;
Autoeficácia - A força das crenças dos indivíduos em sua capacidade de executar tarefas e atingir objetivos;
Motivação de realização - Estabelecer padrões elevados para si mesmo e trabalhar muito para alcançá-los;
Tolerância ao estresse - Ter eficácia na modulação da ansiedade e capacidade de resolver problemas com calma;
Persistência - Ser capaz de perseverar em tarefas e atividades até que sejam concluídas;
Empatia - Compreender e preocupar-se com os outros e com o seu bem-estar. Valorizar e investir no relacionamento próximo;
Criatividade - Gerar novas maneiras de fazer ou pensar sobre as coisas por meio da exploração, aprendizagem a partir do fracasso, insight e visão.","Introdução à Administração, Legislação e Pessoas",C1,4,"Funções Administrativas, Planejamento, Organização, Direção e Controle",,2,Planejamento e organização,Aula 4: Gestão contemporânea,Compreender as funções administrativas de planejamento e organização no apoio às atividades da empresa.,Identificar práticas de gestão contemporânea no ambiente de trabalho.,4. Gestão e adaptação
,1,T,"Executar atividades de Recursos Humanos, tais como rotinas administrativas de departamento pessoal e rotinas administrativas de treinamento e desenvolvimento;                                                                                                                                        Compreender e aplicar noções de legislação e marco regulatório (LGPD).","Curiosidade - Ser interessado em ideias e ter paixão por aprender, compreensão e exploração intelectual; uma mentalidade curiosa;
Autoeficácia - A força das crenças dos indivíduos em sua capacidade de executar tarefas e atingir objetivos;
Motivação de realização - Estabelecer padrões elevados para si mesmo e trabalhar muito para alcançá-los;
Tolerância ao estresse - Ter eficácia na modulação da ansiedade e capacidade de resolver problemas com calma;
Persistência - Ser capaz de perseverar em tarefas e atividades até que sejam concluídas;
Empatia - Compreender e preocupar-se com os outros e com o seu bem-estar. Valorizar e investir no relacionamento próximo;
Criatividade - Gerar novas maneiras de fazer ou pensar sobre as coisas por meio da exploração, aprendizagem a partir do fracasso, insight e visão.","Introdução à Administração, Legislação e Pessoas",C1,4,"Funções Administrativas, Planejamento, Organização, Direção e Controle",,3,Direção e controle administrativo,Aula 1: Uso eficiente dos recursos,Compreender as funções administrativas de direção e controle e sua relação com os resultados organizacionais.,"Identificar o que torna uma atividade eficiente no uso de tempo, pessoas e materiais.",1. Otimização de recursos 
,1,T,"Executar atividades de Recursos Humanos, tais como rotinas administrativas de departamento pessoal e rotinas administrativas de treinamento e desenvolvimento;                                                                                                                                        Compreender e aplicar noções de legislação e marco regulatório (LGPD).","Curiosidade - Ser interessado em ideias e ter paixão por aprender, compreensão e exploração intelectual; uma mentalidade curiosa;
Autoeficácia - A força das crenças dos indivíduos em sua capacidade de executar tarefas e atingir objetivos;
Motivação de realização - Estabelecer padrões elevados para si mesmo e trabalhar muito para alcançá-los;
Tolerância ao estresse - Ter eficácia na modulação da ansiedade e capacidade de resolver problemas com calma;
Persistência - Ser capaz de perseverar em tarefas e atividades até que sejam concluídas;
Empatia - Compreender e preocupar-se com os outros e com o seu bem-estar. Valorizar e investir no relacionamento próximo;
Criatividade - Gerar novas maneiras de fazer ou pensar sobre as coisas por meio da exploração, aprendizagem a partir do fracasso, insight e visão.","Introdução à Administração, Legislação e Pessoas",C1,4,"Funções Administrativas, Planejamento, Organização, Direção e Controle",,3,Direção e controle administrativo,Aula 2: Cumprimento de metas com eficácia,Compreender as funções administrativas de direção e controle e sua relação com os resultados organizacionais.,Compreender como atingir objetivos organizacionais com foco nos resultados.,2. Alinhamento entre metas e resultados
